"Short Name","Description"
"REMO 6.0b","+ neueste Bodenschichten (analog 59b3) kuenstl. Feuchtepool, der durch Transreduzierung entstanden ist wurde beseitigt. Transpirationsreduzierung ist nun switchable (hardcoded) - Momentan ist switch auf false!!"
"REMO 6.0","+ Wolkeneis (in der Form, wie ich es bekommen habe)"
"REMO 5.9b3","+ Beseitigung des Fehlers beim entrotieren der 10m Winde am Pol + 'tatsaechlich' offene Raender + 'letzte' Aenderungen von Stefan (von dieser Version gibt es auch die Varianten: _mpi, _openmp und b3p (Phaenologie))"
"REMO 5.9b2","+ Tagesmittelwertbildung"
"REMO 5.9b","+ 5 wasserfuehrende Schichten im Boden"
"REMO 5.9","+ Holgers Aenderungen in der Horizontaldiffusion (gkonst.f) + Beseitigung des Fehlers in surf.f, den Sven gefunden hatte + Aerosole und Ozon geschaltert verwendbar"
"REMO 5.8","+ ZRHSC,ZRTC,ZRTL=0.7 statt 0.8 + technische Aenderungen"
"REMO 5.7","+ komplettes 'improved arno scheme' + Beseitigung der feuchteabhaengigen Temperaturberechnung im Boden -> wie in REMO 5.0 Viele Laeufe sind mit REMO 5.7 + ZRHSC,ZRTC,ZRTL=0.7 statt 0.8 durchgefuehrt worden."
"REMO 5.6","+ horizontal variables BETA in surf.f + neue Datensaetze fuer alb,vgr,vlt...srv (Konvektionskonstanten wieder original)"
"REMO 5.5","+ neue Konstanten in der Konvketion (ENTRSCV=1.E-03 CMFCTOP=0.4, CPRCON=1.E-04) + horizontal variables BETA in surf.f + korrigierter Albedodatensatz wg. Fehler in vegcycle_2.sh"
"REMO 5.4","nur E-Dateien nun als Zeitreihen gespeichert"
"REMO 5.3","+ Z0I Korrektur + Faktor 2 bei Schnee weg (14)"
"REMO 2015","- rain advection scheme by Joni + nonhydrostatic dynamics from Holger's REMO57_NH version + switching off the halos is possible (in order to make the model faster)"
"REMO 2009","+ technische Aenderungen (Ausgabefelder nun frei waehlbar) Aenderung der Horizontaldiffusion von C. Moseley"
"REMO 2008","+ Fehler in surf korrigiert (Sven) 5 wasserfuehrende Bodenschchten komplette kalte Konvektion Null Grad Problem beseitigt Schneeschmelzproblem beseitigt und optional Niederschlagsadvektion. Schalter: L5LAY=.F., LCOLDC=.T., LPRECADV=.F."